"","agegroup","covid_numbers","policies_UK","rp_mean_norm","dospert_beta","objectiverisk_totalscore","numeracy_total","numeracy3","risktaking_mean","rp_individual_mean","rp_other_mean","risktaking_enforced","risktaking_recommendations"
"91","younger",5,5,0.375,-2,1,6,0,2.33333333333333,0.291666666666667,0.416666666666667,2.33333333333333,2.33333333333333
"92","younger",3,5,0.722222222222222,-0.461764705882354,0,7,0,2,0.5,0.833333333333333,1.33333333333333,2.33333333333333
"93","younger",3,3,0.694444444444444,-0.807692307692306,2,9,1,1.8,0.458333333333333,0.791666666666667,1,2.33333333333333
"94","younger",3,6,0.555555555555556,-1.25563909774436,1,11,1,1.9,0.375,0.833333333333333,1.5,2.16666666666667
"95","younger",2,3,0.652777777777778,-0.528248587570622,1,9,0,2.4,0.708333333333333,0.708333333333333,2,2.66666666666667
"96","younger",5,6,0.583333333333333,-0.304347826086957,0,7,0,2.1,0.375,0.625,1.5,2.5
"97","younger",6,3,0.5,-0.625,1,11,1,2,0.583333333333333,0.333333333333333,1,2.66666666666667
"98","younger",1,7,0.694444444444444,0.0833333333333336,2,8,0,2.33333333333333,0.5,0.833333333333333,1.66666666666667,2.66666666666667
"99","younger",2,2,0.791666666666667,-0.333333333333334,0,6,0,1.4,0.708333333333333,0.666666666666667,1,1.66666666666667
"100","younger",7,4,0.333333333333333,-0.247011952191235,1,8,1,1.2,0,0.5,1.25,1.16666666666667
"101","younger",5,5,0.361111111111111,1.22727272727273,0,10,0,2.1,0.0833333333333333,0.458333333333333,1.5,2.5
"102","younger",3,7,0.694444444444444,-1.2,2,10,1,1.8,0.708333333333333,0.708333333333333,1.25,2.16666666666667
"103","younger",2,5,0.763888888888889,-0.642857142857143,1,11,1,2.4,0.791666666666667,0.791666666666667,1.25,3.16666666666667
"104","younger",3,7,0.875,-0.658227848101265,0,11,1,1.6,0.708333333333333,1,1,2
"105","younger",3,3,0.402777777777778,-0.666666666666666,1,6,0,1.6,0.416666666666667,0.416666666666667,1,2
"106","younger",5,5,0.75,-0.463768115942029,1,11,1,2.22222222222222,0.583333333333333,0.833333333333333,1.33333333333333,2.66666666666667
"107","younger",3,6,0.458333333333333,-0.863013698630137,2,11,1,2.1,0.0833333333333333,0.541666666666667,1.75,2.33333333333333
"108","younger",2,4,0.805555555555556,0.190909090909092,1,11,1,2.1,0.791666666666667,0.791666666666667,1.25,2.66666666666667
"109","younger",2,6,0.527777777777778,-1,1,8,0,2.1,0.625,0.541666666666667,2.25,2
"110","younger",3,6,0.597222222222222,-0.352941176470584,1,11,1,2.4,0.375,0.625,1.5,3
"111","younger",6,3,0.722222222222222,-0.111111111111113,3,11,1,2.22222222222222,0.541666666666667,0.916666666666667,1.33333333333333,2.66666666666667
"112","younger",3,4,0.5,-1.2,0,9,1,2.11111111111111,0.5,0.625,1.33333333333333,2.5
"113","younger",3,5,0.777777777777778,0.166666666666667,1,9,0,1.7,0.708333333333333,0.625,1.25,2
"114","younger",2,3,0.583333333333333,-1,1,8,0,2.11111111111111,0.333333333333333,0.833333333333333,1,2.66666666666667
"115","younger",5,3,0.805555555555556,-0.375,1,7,0,1.77777777777778,0.583333333333333,1,1.33333333333333,2
"116","younger",4,4,0.833333333333333,-1.4,1,9,1,3.11111111111111,1,0.75,2.66666666666667,3.33333333333333
"117","younger",2,4,0.583333333333333,NA,1,6,0,1,0.5,0.5,1,1
"118","younger",3,6,0.652777777777778,-0.999999999999999,0,11,1,1.8,0.583333333333333,0.708333333333333,1.25,2.16666666666667
"119","younger",6,5,0.305555555555556,-0.766233766233765,2,10,1,4.125,0.333333333333333,0.458333333333333,3.5,4.33333333333333
"120","younger",5,6,0.319444444444444,-0.208333333333335,0,10,1,2.625,0.333333333333333,0.416666666666667,2,3
"121","younger",3,6,0.597222222222222,-2.18518518518519,1,11,1,1.8,0.375,0.583333333333333,1,2.33333333333333
"122","younger",6,6,0.527777777777778,-0.628318584070796,3,10,1,3,0.708333333333333,0.5,3.25,2.8
"123","younger",3,5,0.736111111111111,1,1,11,1,1.1,0.583333333333333,0.791666666666667,1.25,1
"124","younger",1,7,0.833333333333333,-1.3125,0,9,1,1.6,0.583333333333333,0.916666666666667,1.5,1.66666666666667
"125","younger",7,6,0.333333333333333,-2.66666666666666,0,10,1,1.9,0,0.458333333333333,1.5,2.16666666666667
"126","younger",3,4,0.388888888888889,0.0243902439024389,0,11,1,2.1,0.208333333333333,0.416666666666667,1.75,2.33333333333333
"127","younger",5,4,0.680555555555556,-0.125000000000001,1,11,1,1.55555555555556,0.625,0.708333333333333,1,2
"128","younger",2,5,0.805555555555556,-0.143712574850299,0,11,1,1.22222222222222,0.583333333333333,0.833333333333333,1,1.33333333333333
"129","younger",3,6,0.75,-0.375000000000001,1,8,0,1.77777777777778,0.5,0.833333333333333,1.33333333333333,2
